Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
9.014921250e-1,-3.654886654e-3,-1.095952766e-2,-1.184470475e-2,1.654588993e-2
9.114241250e-1,8.789286747e-3,-8.986211149e-3,-1.439175189e-2,1.910827241e-2
9.213561250e-1,2.972076904e-2,-2.824765214e-2,-4.063230157e-3,4.120392946e-2
9.312881250e-1,2.418109181e-2,-1.744990049e-2,-1.244638324e-2,3.231310390e-2
9.412211250e-1,1.259329111e-2,-1.993325866e-2,-1.603774309e-2,2.851552183e-2
9.511531250e-1,9.594162834e-3,-2.332810638e-2,-2.501965106e-2,3.552789674e-2
9.610851250e-1,1.101296345e-2,-2.376644656e-2,-2.202587664e-2,3.422380148e-2
9.710171250e-1,2.260299683e-2,-2.501147409e-2,-3.762683272e-3,3.392089455e-2
9.809491250e-1,2.458763775e-2,-2.907834048e-2,-7.804278731e-3,3.887169384e-2
9.908811250e-1,3.050731319e-2,-2.314390082e-2,-2.292400897e-2,4.463010744e-2
1.000813125e0,3.186237801e-2,-3.272210601e-2,-3.280346453e-2,5.623179385e-2
1.010745125e0,1.058994937e-2,-3.325148002e-2,-2.981027484e-2,4.589619197e-2
1.020678125e0,3.269887703e-2,-3.385952650e-2,-1.783517718e-2,5.033664310e-2
1.030610125e0,3.012719850e-2,-2.265337424e-2,-2.127743304e-2,4.328455395e-2
1.040542125e0,2.341801189e-2,-3.414661565e-2,-2.861276507e-2,5.032976223e-2
1.050474125e0,1.230027822e-2,-3.499225094e-2,-4.028907001e-2,5.476279424e-2
1.060406125e0,1.962444801e-2,-2.456119280e-2,-3.160770893e-2,4.458047124e-2
1.070338125e0,9.848673174e-3,-2.445389640e-2,-2.681708515e-2,3.760512555e-2
1.080270125e0,1.003759763e-2,-2.405227491e-2,-2.651946187e-2,3.718261895e-2
1.090202125e0,1.432086125e-2,-2.785067188e-2,-3.176149070e-2,4.460425184e-2
1.100134125e0,4.198164936e-3,-2.528689622e-2,-3.924592674e-2,4.687530773e-2
1.110067125e0,3.700990579e-2,-3.365261729e-2,-2.996522605e-2,5.831077559e-2
1.119999125e0,2.672489785e-2,-2.956951573e-2,-1.664526880e-2,4.319307120e-2
1.129931125e0,3.373701819e-2,-3.382387675e-2,-3.026986599e-2,5.655533416e-2
1.139863125e0,2.582204893e-2,-2.854520232e-2,-2.308714628e-2,4.488455313e-2
1.149795125e0,1.977084311e-2,-2.385237322e-2,-1.814800322e-2,3.590504096e-2
1.159727125e0,1.252651407e-2,-8.698674319e-3,-3.281925201e-2,3.618955364e-2
1.169659125e0,2.823246308e-2,-5.912201973e-3,8.595407009e-4,2.885766647e-2
1.179591125e0,1.235998035e-2,-1.312349995e-2,-1.934843659e-2,2.644536564e-2
1.189523125e0,1.961043754e-2,-2.911417295e-2,-1.979984164e-2,4.030183688e-2
1.199456125e0,2.238713864e-2,-2.996393784e-2,-2.788537145e-2,4.665421190e-2
1.209388125e0,2.032869489e-2,-1.940977754e-2,-9.419864416e-4,2.812263570e-2
1.219320125e0,2.856371242e-2,-2.873525511e-2,-2.174988806e-2,4.598541273e-2
1.229252125e0,2.170047909e-2,-1.663966826e-2,4.028731585e-4,2.734870489e-2
1.239184125e0,2.474561764e-2,-2.022242174e-2,-4.389504790e-3,3.225770739e-2
1.249116125e0,1.606465856e-2,-2.387927041e-2,-2.070499063e-2,3.545404697e-2
1.259048125e0,1.241283141e-2,-2.758542756e-2,-1.486713052e-2,3.370557472e-2
1.268980125e0,1.993596756e-2,-2.062742366e-2,-2.295090616e-2,3.673795725e-2
1.278912125e0,3.472278566e-2,-3.087431277e-2,-2.983541787e-2,5.521817810e-2
1.288845125e0,1.988009925e-2,-2.229414507e-2,-1.576350868e-2,3.377477544e-2
1.298777125e0,1.039096931e-2,-1.298249069e-2,-1.920634925e-2,2.540474679e-2
1.308709125e0,1.055052977e-2,-2.115814070e-2,-2.848588049e-2,3.701926504e-2
1.318641125e0,1.639962179e-2,-2.540875585e-2,-1.621199012e-2,3.431298722e-2
1.328573125e0,1.533707535e-2,3.222418819e-3,-1.037471473e-2,1.879480165e-2
1.338505125e0,1.253359012e-2,-2.578719861e-2,-3.911494911e-2,4.849793539e-2
1.348437125e0,2.479897348e-2,-2.020968578e-2,-1.591319740e-2,3.573024400e-2
1.358369125e0,1.549862867e-2,-1.117784807e-2,-2.549444497e-2,3.186092438e-2
1.368302125e0,1.066730164e-2,-2.640659234e-2,-4.211047769e-2,5.083691350e-2
1.378234125e0,1.703084585e-2,-1.502145133e-2,-2.339938760e-2,3.260713189e-2
1.388166125e0,3.175973197e-2,-1.994051286e-2,-3.043475747e-2,4.829678137e-2
1.398098125e0,3.812820863e-3,-1.592179463e-2,-2.819059610e-2,3.259985975e-2
1.408030125e0,9.546345858e-3,-2.661821586e-2,-2.070732951e-2,3.504933138e-2
1.417962125e0,1.481618665e-2,-1.559956737e-2,-2.939161420e-2,3.642434453e-2
