"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"	"Absolute acceleration (m/s^2)"
5.868305833e-1	2.215817675e-2	-2.939367900e-4	-1.881750941e-2	2.907180517e-2
5.967635833e-1	2.071982108e-2	-6.754063983e-3	-2.151190639e-2	3.062173219e-2
6.066965834e-1	2.681764703e-2	-4.734390015e-3	-1.971622646e-2	3.362038409e-2
6.166295834e-1	3.560986081e-2	-1.154043026e-2	-2.255914271e-2	4.370536165e-2
6.265625833e-1	1.970520354e-2	-3.810009174e-4	-2.734976649e-2	3.371127312e-2
6.364955833e-1	3.254917689e-2	5.232906262e-3	-1.851871669e-2	3.781236692e-2
6.464275834e-1	3.614213787e-2	-3.533568350e-3	-3.184042811e-2	4.829651227e-2
6.563605834e-1	2.572929975e-2	-6.363141071e-3	-1.058462977e-2	2.853981110e-2
6.662935833e-1	1.960855546e-2	-4.704468716e-3	-9.537393451e-3	2.230671081e-2
6.762265833e-1	2.860686989e-2	3.320350545e-4	-1.642307460e-2	3.298758299e-2
6.861595833e-1	2.978358550e-2	1.143025593e-3	-1.702241421e-2	3.432391379e-2
6.960925834e-1	1.699750416e-2	-5.782818622e-3	-2.203230858e-3	1.808895699e-2
7.060255833e-1	1.300176823e-2	9.517398714e-3	-9.537978172e-3	1.872431261e-2
7.159585833e-1	2.912295520e-2	1.162622445e-2	-1.013731778e-2	3.295574041e-2
7.258905834e-1	3.817414810e-2	-6.415099064e-3	-1.223295987e-2	4.059635927e-2
7.358235834e-1	1.219294298e-2	1.719844281e-3	4.232214689e-3	1.302065145e-2
7.457565833e-1	1.224011585e-2	5.181240630e-3	-4.149184227e-3	1.392413086e-2
7.556895833e-1	1.574626853e-2	9.637723449e-3	-2.181245327e-2	2.857645540e-2
7.656225833e-1	7.774556146e-3	-1.447533052e-3	-2.300996304e-2	2.433099821e-2
7.755555834e-1	1.427439416e-2	-3.801398235e-3	-1.223295987e-2	1.917952721e-2
7.854885834e-1	2.335251166e-2	1.594995720e-2	-2.750062466e-2	3.944648643e-2
7.954215833e-1	2.807021198e-2	-3.263650825e-3	-1.073548794e-2	3.022976875e-2
8.053535833e-1	1.844512172e-2	8.551552892e-6	-1.387895107e-2	2.308349781e-2
8.152865834e-1	4.360092382e-2	3.297053045e-4	-1.357957363e-2	4.566786708e-2
8.252195833e-1	3.673984437e-2	-8.979358943e-3	-1.088517666e-2	3.935647497e-2
8.351525833e-1	2.063456365e-2	3.863090929e-3	-1.612428188e-2	2.647076038e-2
8.450855833e-1	1.798566761e-2	1.621524263e-3	-1.762233853e-2	2.523213023e-2
8.550185834e-1	2.105494191e-2	-7.784841307e-3	-2.091549039e-2	3.068178729e-2
8.649515834e-1	2.875427454e-2	6.677817204e-3	-1.522673428e-2	3.321528239e-2
8.748845833e-1	2.479117796e-2	1.423312789e-3	-1.328078091e-2	2.816038823e-2
8.848175833e-1	3.091684441e-2	-1.804717986e-2	-1.956712246e-2	4.079735593e-2
8.947495834e-1	1.610509342e-2	5.292488476e-3	-3.558381557e-2	3.941563648e-2
9.046825834e-1	1.112364256e-3	-7.847187244e-3	-8.041090965e-3	1.129047589e-2
9.146155833e-1	9.106056229e-3	-1.739043705e-2	-2.300996304e-2	3.024575937e-2
9.245485833e-1	1.575563549e-2	3.237155629e-3	-9.539147615e-3	1.870065677e-2
9.344815833e-1	2.377573130e-2	-8.531850516e-3	-2.061728239e-2	3.260598419e-2
9.444145834e-1	2.018208738e-2	-4.219478723e-3	-3.199479461e-2	3.806294174e-2
9.543475833e-1	3.151657003e-2	-3.067796510e-3	-1.328370452e-2	3.433893370e-2
9.642805833e-1	2.243858043e-2	1.094671860e-3	-2.346253753e-2	3.248351683e-2
9.742125834e-1	2.172150851e-2	4.636490266e-3	-1.388187468e-2	2.619212513e-2
9.841455834e-1	2.863358436e-2	1.627448224e-2	-2.495825529e-2	4.132378773e-2
9.940785833e-1	1.809276987e-2	3.518347316e-3	-1.567755461e-2	2.419737192e-2
1.004011583e0	3.199637975e-2	1.261663314e-2	-3.184393644e-2	4.687199630e-2
1.013944583e0	1.013086300e-2	-1.109961872e-2	-1.178623259e-2	1.909846066e-2
1.023877583e0	2.670503331e-3	-1.694504367e-2	-5.199344158e-3	1.792482281e-2
1.033810583e0	1.494823551e-2	-7.636760571e-3	-1.597751677e-2	2.317435865e-2
1.043743583e0	2.504668072e-2	1.160421973e-2	-2.989973724e-2	4.069383759e-2
1.053675583e0	1.158751405e-2	5.554891415e-3	1.984544992e-3	1.300252742e-2
1.063608583e0	1.521985923e-2	2.458557752e-3	-1.867308319e-2	2.421513281e-2
1.073541583e0	3.219615810e-2	-4.060343094e-3	-2.795378387e-2	4.283098195e-2
1.083474583e0	3.413316477e-2	-1.044324593e-2	-1.043961883e-2	3.719032084e-2
1.093407583e0	4.604504169e-3	6.166985258e-5	-1.133775115e-2	1.223723265e-2
1.103340583e0	8.135397874e-3	-5.397016592e-3	-1.927125335e-2	2.160309451e-2
1.113273583e0	2.275060704e-2	-1.515160670e-2	-1.268553436e-2	3.013443360e-2
1.123206583e0	3.265402934e-2	6.129919393e-3	-2.511028290e-2	4.164598241e-2
1.133138583e0	3.180973480e-2	-8.020972889e-3	-1.058989227e-2	3.447232299e-2
1.143071583e0	2.824643930e-2	-1.532407215e-2	-1.792463958e-2	3.679648386e-2
1.153004583e0	4.852887494e-3	3.898539674e-4	-1.373335540e-2	1.457077739e-2
1.162937583e0	2.502564445e-2	-3.019940704e-3	-1.523024261e-2	2.945103075e-2
1.172870583e0	2.086797948e-2	5.995588750e-3	-4.104745388e-4	2.171608025e-2
1.182803583e0	1.697643362e-2	9.134328431e-3	-2.301347136e-2	3.002091136e-2
1.192736583e0	8.287669877e-3	1.173403705e-3	-2.840285003e-2	2.961054269e-2
1.202669583e0	1.673220273e-2	2.395051508e-3	-3.663514495e-2	4.034645865e-2
1.212601583e0	2.302267159e-2	9.591790829e-3	-2.765440643e-2	3.723992553e-2
1.222534583e0	1.301237087e-2	5.434438772e-3	-2.181654632e-2	2.597723261e-2
1.232467583e0	2.203053614e-2	2.378048901e-3	-1.942211151e-2	2.946554012e-2
1.242400583e0	2.586323068e-2	-5.124376458e-3	-3.499090791e-2	4.381243627e-2
1.252333583e0	9.844125593e-3	-1.031765870e-2	-2.032199800e-2	2.482628632e-2
1.262266583e0	3.359984388e-2	-4.784557298e-3	-9.694098830e-3	3.529613364e-2
1.272199583e0	1.097366148e-2	1.101528634e-3	-9.394136667e-3	1.448738814e-2
1.282132583e0	2.092984119e-2	-2.837589802e-3	1.335854888e-2	2.499121839e-2
1.292064583e0	2.525563189e-2	-1.458565104e-3	-1.148919404e-2	2.778445490e-2
1.301997583e0	2.830645548e-2	-3.911202550e-3	3.367996216e-4	2.857737499e-2
1.311930583e0	3.169750252e-2	-3.366580093e-4	1.081501007e-2	3.349342394e-2
1.321863583e0	2.660662193e-2	8.828016557e-4	3.180885315e-3	2.681062664e-2
1.331796458e0	2.578972936e-2	5.953141619e-3	1.683413386e-3	2.652138601e-2
1.341729458e0	2.489286241e-2	8.461537748e-3	2.114294708e-2	3.373835252e-2
1.351662458e0	3.300381161e-2	8.196014771e-4	-8.618795872e-4	3.302523526e-2
1.361595458e0	1.653086665e-2	1.519412692e-3	-7.127755880e-4	1.661584233e-2
1.371527458e0	2.557993765e-2	1.505110768e-2	-4.903475046e-3	3.008177389e-2
1.381460458e0	1.233512854e-2	-8.898068941e-3	-3.050024629e-2	3.408219551e-2
1.391393458e0	4.948530584e-3	-1.125672153e-2	-2.615985811e-2	2.890570724e-2
1.401326458e0	4.361579767e-3	-1.492049550e-3	-3.080020845e-2	3.114325658e-2
1.411259458e0	2.297854567e-2	-2.788505168e-3	-2.361573458e-2	3.306799422e-2
1.421192458e0	1.085483966e-2	-1.088693082e-2	-3.319581270e-2	3.658298495e-2
1.431125458e0	1.437515127e-3	1.632558142e-2	-2.496293306e-2	2.986200070e-2
1.441058458e0	2.589574669e-2	9.329072689e-3	-4.023059785e-2	4.874548489e-2
1.450990458e0	2.150841176e-2	8.570049279e-3	-5.594732881e-2	6.054883254e-2
1.460923458e0	2.701691831e-2	-1.270513167e-3	-4.038028657e-2	4.860139527e-2
1.470856458e0	1.698126671e-2	1.974321501e-3	-3.214682221e-2	3.640988249e-2
1.480789458e0	1.424457564e-2	-1.090724076e-2	-3.394308686e-2	3.839282462e-2
1.490722458e0	9.098630722e-3	-1.574972204e-2	-2.601016939e-2	3.173905696e-2
1.500655458e0	2.632717527e-2	-1.223554543e-2	-1.283756196e-2	3.174321545e-2
1.510588458e0	1.951407497e-2	6.034098146e-4	6.344228983e-4	1.953370722e-2
1.520521458e0	3.533236246e-2	-2.447274453e-3	1.350706816e-2	3.790522233e-2
1.530453458e0	2.436551893e-2	6.371455081e-4	-6.850013137e-3	2.531811895e-2
1.540386458e0	1.097643434e-3	-5.250726566e-3	-1.461219192e-3	5.559686331e-3
1.550319458e0	2.074575897e-2	5.590609680e-3	-1.460634470e-3	2.153543324e-2
1.560252458e0	2.444203523e-2	-1.601387001e-2	1.365675688e-2	3.225467605e-2
1.570185458e0	2.321558174e-2	4.026625673e-3	1.680080473e-2	2.893862453e-2
1.580118458e0	4.149822853e-2	7.570481468e-3	1.036360502e-2	4.343753526e-2
1.590051458e0	2.793978481e-2	-8.231463516e-4	1.994368315e-2	3.433743792e-2
1.599984458e0	1.560963554e-2	5.729284622e-3	-2.958106399e-3	1.688892588e-2
1.609916458e0	6.936156785e-3	1.962330141e-3	-1.388538301e-2	1.564496315e-2
1.619849458e0	1.858080681e-2	-9.049799619e-4	4.676603079e-3	1.918165757e-2
1.629782458e0	1.961760494e-2	-8.820533948e-3	-1.343573213e-2	2.536081901e-2
1.639715458e0	1.150594083e-2	1.069597355e-3	-1.238908052e-2	1.694166547e-2
1.649648458e0	2.975668831e-2	-6.270298250e-3	-2.256791353e-2	3.786935252e-2
1.659581458e0	2.724825335e-2	-1.016569961e-2	-1.343807101e-2	3.203732997e-2
1.669514458e0	9.320683305e-3	-4.592732079e-3	-3.334725559e-2	3.492860977e-2
1.679447458e0	1.832975570e-2	-5.997799728e-3	-2.915538669e-2	3.495697525e-2
1.689379458e0	1.367894432e-2	-2.009820496e-3	-2.825783908e-2	3.145883605e-2
