Time_s,Bx_nT,By_nT,Bz_nT,zAut_m
36012.3,515.435795,41.6386867,85.2782656,26.3
36012.4,512.709575,32.9278795,96.4256739,26.3
36012.5,513.07772,19.7856125,97.9555796,26.3
36012.6,495.106686,1.01817368,110.340624,26.3
36012.7,499.499395,-15.5256246,108.666729,26.3
36012.8,507.784542,-21.2762854,117.502707,26.3
36012.9,510.24266,-28.0187483,119.136683,26.3
36013.0,515.207468,-31.5240954,117.679742,26.3
36013.1,517.727918,-33.428158,118.076447,26.3
36013.2,514.753603,-21.8325267,119.776029,26.3
36013.3,517.09608,-17.4906589,114.56875,26.3
36013.4,522.827583,-17.9517859,116.071844,26.3
36013.5,523.653684,-0.164180264,104.856201,26.3
36013.6,530.377679,7.6331399,97.5768858,26.3
36013.7,527.274703,3.72529735,99.6058476,26.3
36013.8,525.182806,11.488023,88.0713235,26.3
36013.9,529.633289,17.7608986,93.3304943,26.3
36014.0,529.699646,14.4018525,94.7912508,26.3
36014.1,528.770704,19.7036182,92.5925355,26.3
36014.2,531.004159,9.33350843,95.9519659,26.3
36014.3,532.020592,15.8910288,101.66565,26.3
36014.4,526.803993,18.691181,98.4638359,26.3
36014.5,530.9396,24.7863186,95.4966946,26.3
36014.6,533.659192,22.1020183,100.703481,26.3
36014.7,536.474891,44.190903,92.2047453,26.3
36014.8,537.534842,38.3362634,97.1156828,26.3
36014.9,533.901028,39.6967368,91.1168097,26.3
36015.0,531.771891,25.8621135,98.3778139,26.3
36015.1,538.353887,40.5577572,92.2482783,26.3
36015.2,525.789477,37.8823021,102.494731,26.3
36015.3,514.925565,28.1450118,102.671011,26.3
36015.4,532.010332,42.7780232,85.8135378,26.3
36015.5,525.621762,33.2517947,93.3458522,26.3
36015.6,525.897585,4.96514699,104.59102,26.3
36015.7,525.231933,-20.6082142,112.539343,26.3
36015.8,524.330867,-27.8507059,124.445956,26.3
36015.9,528.95227,-18.5901203,114.711291,26.3
36016.0,534.641016,-2.29375841,118.961851,26.3
36016.1,530.788673,-9.39761719,121.299276,26.3
36016.2,525.558546,-5.65736538,116.939228,26.3
36016.3,533.131255,2.02358323,114.087192,26.3
36016.4,531.171404,0.294732813,119.910515,26.3
36016.5,526.008003,9.89294539,113.4358,26.3
36016.6,526.149529,18.1365199,108.019272,26.3
36016.7,527.013886,-7.30532888,122.999391,26.3
36016.8,526.178199,3.6118948,112.229289,26.3
36016.9,527.125514,54.2389662,99.231205,26.3
36017.0,516.447905,57.4283254,93.8528682,26.3
36017.1,518.956983,69.5336396,71.605748,26.3
36017.2,514.534152,51.3950966,80.314383,26.3
36017.3,511.835554,57.3687994,87.0727776,26.3
36017.4,507.915248,69.3450778,81.6546434,26.3
36017.5,513.993356,64.6065757,88.8447001,26.3
36017.6,513.222781,44.7989667,103.42958,26.3
36017.7,511.511379,40.1357199,99.7070623,26.3
36017.8,509.573347,23.1319498,102.021808,26.3
36017.9,515.477195,33.7910787,103.049418,26.3
36018.0,523.253731,43.2309598,102.290676,26.3
36018.1,528.992813,52.1372508,110.380983,26.3
36018.2,509.442911,31.3066476,112.063568,26.3
36018.3,513.419718,40.652482,100.149386,26.3
36018.4,526.798489,45.9575969,105.241029,26.3
36018.5,522.632578,46.2380769,107.397146,26.3
36018.6,512.344631,38.2965812,107.870386,26.3
36018.7,516.44766,42.8590361,103.621409,26.3
36018.8,534.053681,57.662273,85.6246344,26.3
36018.9,520.118054,45.6335569,98.9413255,26.3
36019.0,500.120956,42.3716117,105.145426,26.3
36019.1,505.840948,37.9702101,92.3601534,26.3
36019.2,504.655268,46.4343917,86.9466483,26.3
36019.3,511.498883,56.2395235,88.0274724,26.3
36019.4,519.020904,66.9130857,68.3948269,26.3
36019.5,520.878348,85.8488367,56.785938,26.3
36019.6,525.30032,90.98421,57.0053144,26.3
36019.7,529.413625,83.389375,62.7292753,26.3
36019.8,538.002944,91.1967815,25.1961035,26.3
36019.9,534.473206,82.5400843,45.872267,26.3
36020.0,528.055122,86.2769237,54.5373029,26.3
36020.1,518.082,85.4618253,55.2103368,26.3
36020.2,513.201035,76.9877718,52.0692849,26.3
36020.3,510.488195,80.1991167,55.6686694,26.3
36020.4,513.303597,66.027206,57.1705881,26.3
36020.5,511.205729,59.2541713,68.1608255,26.3
36020.6,517.132452,63.8495446,69.6770997,26.3
36020.7,507.927224,62.4052697,73.4582986,26.3
36020.8,513.008573,62.978699,70.4767341,26.3
36020.9,504.570199,83.9090401,62.5738887,26.3
36021.0,504.038356,90.9905389,59.9590026,26.3
36021.1,512.263375,94.5525042,60.0461938,26.3
36021.2,524.182938,100.078326,55.2762597,26.3
36021.3,523.711878,123.99302,50.1705222,26.3
36021.4,518.953331,112.661007,49.8784407,26.3
36021.5,517.135357,96.5361434,51.7134493,26.3
36021.6,510.807449,99.8009899,50.3697955,26.3
36021.7,501.018359,103.692172,45.9356192,26.3
36021.8,498.98802,91.5266052,64.6431972,26.3
36021.9,497.944012,114.321487,51.1212333,26.3
36022.0,513.004503,121.240045,43.5207658,26.3
36022.1,512.624915,129.280035,29.7572192,26.3
36022.2,503.56512,120.219125,32.3912841,26.3
36022.3,498.61669,118.695112,31.0468026,26.3
36022.4,496.097628,118.528197,45.5439815,26.3
36022.5,497.780316,131.662121,36.2778095,26.3
36022.6,495.526741,122.46017,49.7863805,26.3
36022.7,498.874461,118.669002,55.6829591,26.3
36022.8,504.644873,119.195868,38.9453672,26.3
36022.9,498.412743,101.980864,52.9899292,26.3
36023.0,501.38148,119.583618,45.8492394,26.3
36023.1,504.834014,123.44812,39.3518848,26.3
36023.2,512.757602,134.956647,33.6983446,26.3
36023.3,495.55448,125.365042,47.3685841,26.3
36023.4,506.462252,145.035795,29.6510906,26.3
36023.5,510.242822,172.51153,22.8475112,26.3
36023.6,516.130057,185.820125,17.8306075,26.3
36023.7,502.217905,171.21879,22.0490453,26.3
36023.8,498.022246,152.945629,29.410953,26.3
36023.9,494.586992,124.039417,37.1294934,26.3
36024.0,502.296802,117.576635,34.7672078,26.3
36024.1,491.064322,103.555662,45.9749227,26.3
36024.2,499.196936,103.447324,49.9531145,26.3
36024.3,500.533407,116.149518,38.5574207,26.3
36024.4,500.415035,132.853262,28.3375117,26.3
36024.5,503.066673,128.855971,47.6456886,26.3
36024.6,507.184661,147.977626,37.8627227,26.3
36024.7,505.680552,151.856375,28.1256833,26.3
36024.8,508.377901,163.16321,30.0644834,26.3
36024.9,523.886356,167.294101,19.6113511,26.3
36025.0,531.789342,161.463125,36.3797409,26.3
36025.1,528.080158,151.529942,37.8354462,26.3
36025.2,519.453009,158.27259,35.84198,26.3
36025.3,517.626438,149.922917,49.4690492,26.3
36025.4,522.927112,144.757891,56.7247269,26.3
36025.5,530.190366,156.254997,41.0091853,26.3
36025.6,524.589805,166.380857,41.167713,26.3
36025.7,517.967871,153.654199,53.7129957,26.3
36025.8,518.444114,156.363489,49.3707996,26.3
36025.9,517.175394,149.644999,56.8637171,26.3
