Time_s,Bx_nT,By_nT,Bz_nT,zAut_m,zTrue_m
10.5,-20.0190803,-193.754212,89.830128,15.2,15.2
10.6,-16.1796693,-195.294575,99.5408128,15.2,15.2
10.7,-5.9323476,-174.478245,88.0911133,15.2,15.2
10.8,-15.2011218,-171.881878,88.8665305,15.2,15.2
10.9,-8.87012867,-170.796398,89.9357731,15.2,15.2
11.0,-12.7058325,-175.805165,84.3782835,15.2,15.2
11.1,-5.26113192,-176.378713,70.409415,15.2,15.2
11.2,-13.8117514,-187.669695,76.9806829,15.2,15.2
11.3,-22.9679482,-183.778131,83.3241615,15.2,15.2
11.4,-25.5026634,-172.205178,80.7471028,15.2,15.2
11.5,-18.7485018,-155.498138,73.6695994,15.2,15.2
11.6,-14.9470477,-139.609883,59.8850478,15.2,15.2
11.7,-16.9762513,-133.833436,60.4901825,15.2,15.2
11.8,-18.9969753,-134.035352,59.3309201,15.2,15.2
11.9,-12.995172,-114.193845,37.7173292,15.2,15.2
12.0,-9.32267536,-64.193155,43.0606331,15.2,15.2
12.1,0.0413568918,-107.7745,46.5323956,15.2,15.2
12.2,-7.82494958,-75.6401901,42.6992685,15.2,15.2
12.3,-3.96692307,-69.4483539,42.5745634,15.2,15.2
12.4,-7.18734556,-52.5188835,46.6852586,15.2,15.2
12.5,-11.8702579,-28.6324622,38.8647966,15.2,15.2
12.6,-12.1809172,-32.7086523,44.885147,15.2,15.2
12.7,-5.48475866,-45.1977615,44.3790158,15.2,15.2
12.8,-5.17532716,-48.6803498,45.4268403,15.2,15.2
12.9,-8.53134172,-66.1263537,55.289928,15.2,15.2
13.0,-11.0353966,-90.3358511,77.0698598,15.2,15.2
13.1,-14.9280924,-109.802319,79.3155463,15.2,15.2
13.2,-8.41908582,-122.025076,77.0831179,15.2,15.2
13.3,-5.50542477,-121.978862,92.3495091,15.2,15.2
13.4,-8.6752538,-121.444654,88.7276252,15.2,15.2
13.5,-7.18793467,-109.816519,78.3312196,15.2,15.2
13.6,-0.47425468,-104.136541,71.6322515,15.2,15.2
13.7,-1.70452121,-106.902219,66.2272522,15.2,15.2
13.8,-1.45783357,-87.3668821,58.6640077,15.2,15.2
13.9,-0.776374102,-97.8116783,63.8986816,15.2,15.2
14.0,5.91475932,-85.0156113,65.0251796,15.2,15.2
14.1,5.2048727,-104.63529,68.8411097,15.2,15.2
14.2,-3.42772618,-118.18942,88.1994963,15.2,15.2
14.3,-3.24312729,-128.509174,79.2309589,15.2,15.2
14.4,-2.75968504,-129.038065,79.8629627,15.2,15.2
14.5,-15.1484018,-153.315905,90.0311542,15.2,15.2
14.6,-22.7456137,-165.668211,89.5071265,15.2,15.2
14.7,-19.1002709,-160.268346,83.9663154,15.2,15.2
14.8,-16.188794,-157.612316,90.6333513,15.2,15.2
14.9,-17.329832,-160.060917,86.5628579,15.2,15.2
15.0,-15.2919488,-145.882556,74.0649812,15.2,15.2
15.1,7.0634352,-123.23891,52.4209178,15.2,15.2
15.2,4.87056552,-107.805466,50.2010776,15.2,15.2
15.3,2.9171056,-101.007153,55.7440023,15.2,15.2
15.4,7.9647685,-91.2104832,52.1664069,15.2,15.2
15.5,4.37626201,-73.5841113,43.2312444,15.2,15.2
15.6,6.97248826,-70.8084877,33.0708551,15.2,15.2
15.7,3.84896368,-62.441254,44.7876193,15.2,15.2
15.8,6.75141175,-57.8967859,36.388413,15.2,15.2
15.9,6.98379935,-36.2963882,24.2987832,15.2,15.2
16.0,0.724120477,-38.8096116,33.8414204,15.2,15.2
16.1,-3.86656036,-19.1592733,23.2824599,15.2,15.2
16.2,-6.28430055,2.63793142,11.6375193,15.2,15.2
16.3,-1.4626189,6.54680994,18.4814332,15.2,15.2
16.4,-1.81675831,2.23998451,-2.04078628,15.2,15.2
16.5,0.832264076,-32.5189124,9.15874368,15.2,15.2
16.6,-12.4937843,-83.1279348,37.7425903,15.2,15.2
16.7,-10.25828,-94.3876272,30.3246742,15.2,15.2
16.8,-6.04343062,-40.8725449,1.68425669,15.2,15.2
16.9,-9.30166028,-13.8513449,-16.6880051,15.2,15.2
17.0,-20.1132815,-17.79429,-21.206179,15.2,15.2
17.1,-27.4068206,-19.5079018,-22.6184226,15.2,15.2
17.2,-24.1272715,-23.6820769,-10.8788849,15.2,15.2
17.3,-20.2513447,-19.7323251,-18.5264506,15.2,15.2
17.4,-27.3868788,-26.7663615,-5.76290277,15.2,15.2
17.5,-22.4562352,-39.6803696,0.22667004,15.2,15.2
17.6,-21.1502292,-54.6203802,-7.08649998,15.2,15.2
17.7,-15.4438075,-57.3328779,-6.35457915,15.2,15.2
17.8,-12.4072956,-70.9222688,6.02866193,15.2,15.2
17.9,-16.8110074,-71.0536883,9.73141203,15.2,15.2
18.0,-16.0279582,-61.3724515,-1.73078119,15.2,15.2
18.1,-11.75973,-66.9544737,-3.92993898,15.2,15.2
18.2,-24.5269992,-53.4688029,-3.78524064,15.2,15.2
18.3,-19.6044375,-40.650817,-20.50298,15.2,15.2
18.4,-12.0217197,-24.0660213,-26.2264575,15.2,15.2
18.5,-12.8199801,10.2706482,-51.4734505,15.2,15.2
18.6,-17.7984734,36.2831212,-65.8102572,15.2,15.2
18.7,-30.860379,46.3122752,-64.8250329,15.2,15.2
18.8,-22.2118338,22.1969187,-59.1967887,15.2,15.2
18.9,-24.9245559,1.69476055,-52.1872378,15.2,15.2
19.0,-22.8431126,-20.2792039,-35.6311681,15.2,15.2
19.1,-22.176925,-27.5246365,-27.4805112,15.2,15.2
19.2,-19.7487734,-33.2856171,-37.8341808,15.2,15.2
19.3,-13.1244929,-41.4506519,-26.4054006,15.2,15.2
19.4,-10.2650732,-51.1856313,-22.9698679,15.2,15.2
19.5,-8.46829569,-62.5623609,-21.8530927,15.2,15.2
19.6,-4.65075687,-65.5887603,-23.5657451,15.2,15.2
19.7,-8.4051882,-62.0876886,-19.7795885,15.2,15.2
19.8,10.0836554,-44.0961969,-24.906664,15.2,15.2
19.9,8.72571662,-57.4602391,-21.666267,15.2,15.2
20.0,1.17157926,-70.9853702,-25.8120362,15.2,15.2
20.1,-9.32232609,-85.9794895,-26.9875767,15.2,15.2
20.2,-7.5281026,-83.6226907,-28.889544,15.2,15.2
20.3,-11.2470017,-71.8137919,-31.8992681,15.2,15.2
20.4,-9.79364599,-54.3551798,-46.6299983,15.2,15.2
20.5,-8.83948305,-53.6998539,-43.3341891,15.2,15.2
20.6,3.13295137,-58.4014177,-35.3304232,15.2,15.2
20.7,6.58612978,-56.0677342,-50.6529329,15.2,15.2
20.8,-1.92859041,-63.8612674,-38.6034118,15.2,15.2
20.9,-12.1659732,-57.8330697,-36.1268398,15.2,15.2
21.0,-19.3118728,-40.9559972,-36.8175424,15.2,15.2
21.1,-15.3980436,-53.3849795,-22.8036837,15.2,15.2
21.2,-11.8205293,-53.8326186,-21.963887,15.2,15.2
21.3,-18.0740091,-42.4869133,-33.1772212,15.2,15.2
21.4,-16.9755421,-51.3717079,-32.1855217,15.2,15.2
21.5,-9.91144635,-54.2144282,-33.450706,15.2,15.2
21.6,-13.3714728,-42.7177658,-41.7176291,15.2,15.2
21.7,-10.0207875,-29.1517071,-37.995392,15.2,15.2
21.8,-5.91143483,-25.0460483,-44.836,15.2,15.2
21.9,-6.37477502,-19.9506873,-51.4443695,15.2,15.2
22.0,1.12954188,-18.1183051,-50.1826487,15.2,15.2
22.1,-6.31205804,-5.11626152,-50.7324682,15.2,15.2
22.2,-3.6616724,-2.56606506,-54.726292,15.2,15.2
22.3,-1.14010528,-9.0905028,-48.7129145,15.2,15.2
22.4,3.56868563,-16.7745015,-45.8401251,15.2,15.2
22.5,4.07800114,-22.9948443,-48.4330605,15.2,15.2
22.6,6.27853966,-19.1119986,-36.3977477,15.2,15.2
22.7,12.4751664,-8.81507567,-53.2817683,15.2,15.2
22.8,8.83789752,10.1257409,-54.6019556,15.2,15.2
22.9,10.6609458,19.1225961,-54.0342707,15.2,15.2
23.0,-4.46025699,59.0048891,-66.7480577,15.2,15.2
23.1,-6.06165839,78.6943521,-83.9423664,15.2,15.2
23.2,-7.76552764,89.5627192,-77.8924269,15.2,15.2
23.3,-5.57726778,79.7726388,-77.5246447,15.2,15.2
23.4,-6.21402533,85.5185846,-76.6064628,15.2,15.2
23.5,-6.88145467,43.3616595,-44.3577397,15.2,15.2
23.6,5.22146474,28.9779384,-40.5913445,15.2,15.2
23.7,-4.45766961,49.9133311,-50.4793854,15.2,15.2
23.8,-2.04885099,37.3236682,-51.2855599,15.2,15.2
23.9,-11.1433648,66.6408269,-51.6739079,15.2,15.2
24.0,-33.5831627,75.6347317,-52.2489994,15.2,15.2
